site,dummy,distRoad,occ,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
133,0,5.428836823,0,14.67170143,0,92.26045227,0,0.000000000,0.120261401,0,0,7.626568794,1350.096313,1.116306543,-955.7395576,595.010677,RufousLeggedOwl,15
134,1,1.993427515,0,15.02691269,0,95.73836517,0,0.000000000,0,0,0,4.264755726,1310.866699,-1.368239403,-940.7395576,595.010677,RufousLeggedOwl,15
135,1,2.983647823,0,13.82475185,0.538155794,97.24355316,0,0.000000000,0.056390516,0,0,2.707670212,1857.943115,-0.575451672,-925.7395576,595.010677,RufousLeggedOwl,15
136,0,4.789302826,0,10.88385677,6.061093807,87.7803421,0,0.000000000,0.076123588,0,0,12.1496954,2821.578613,1.190023661,-910.7395576,595.010677,RufousLeggedOwl,15
137,0,3.947632313,0,7.820496082,13.10766983,83.80912781,0,0.000000000,0.291767478,0,0,15.90818787,3542.533936,1.527063847,-895.7395576,595.010677,RufousLeggedOwl,15
138,0,2.695850134,0,7.042654514,15.92064285,97.03310394,0,0.000000000,0,0,0,2.970265388,3727.489746,-0.192514569,-880.7395576,595.010677,RufousLeggedOwl,15
139,0,4.498450279,0,15.03440571,0.034299623,70.12626648,0,0.000000000,0,0,0.075350076,29.79247856,667.0732422,0.735890627,-1015.739558,580.010677,RufousLeggedOwl,15
140,0,4.498450279,0,15.03440571,0.034299623,70.12626648,0,0.000000000,0,0,0.075350076,29.79247856,667.0732422,0.735890627,-1000.739558,580.010677,RufousLeggedOwl,15
141,0,2.721072197,0,14.82802582,0,85.42189789,0,0.000000000,0,0,0,14.58979416,883.0005493,-1.797839999,-985.7395576,580.010677,RufousLeggedOwl,15
142,0,2.532312393,0,14.46515656,0,95.4382019,0,0.000000000,0.018018812,0,0,4.547878265,1145.708862,-0.279672563,-970.7395576,580.010677,RufousLeggedOwl,15
143,0,1.788757443,0,13.90906143,0,97.60720062,0,0.000000000,0.005824156,0,0,2.387808561,1485.499634,0.525387764,-955.7395576,580.010677,RufousLeggedOwl,15
144,1,1.84702611,0,13.99650478,0.028230418,92.71051788,0,0.000000000,0,0,0,6.942105293,1582.519531,-1.259409308,-940.7395576,580.010677,RufousLeggedOwl,15
145,1,5.452454567,0,12.76700401,1.66522038,97.03252411,0,0.000000000,0.057479192,0,0,2.911813498,2119.689941,1.440279961,-925.7395576,580.010677,RufousLeggedOwl,15
146,0,9.411308289,0,10.57959747,6.818369389,83.61917877,0,0.000000000,0.000882247,0,0,16.39582634,2880.771484,1.760871053,-910.7395576,580.010677,RufousLeggedOwl,15
147,0,5.421738148,0,8.573213577,12.33313942,83.95778656,0,0.000000000,0.058011487,0,0,15.98739529,3393.564453,-1.182894945,-895.7395576,580.010677,RufousLeggedOwl,15
148,0,5.421738148,0,8.573213577,12.33313942,83.95778656,0,0.000000000,0.058011487,0,0,15.98739529,3393.564453,-1.182894945,-880.7395576,580.010677,RufousLeggedOwl,15
149,0,1.914123774,0,15.99870968,1.083860755,54.17024994,0.094407186,0.000000000,0,0.6049577,1.003755689,22.37145233,200.1007843,-0.631162465,-1015.739558,565.010677,RufousLeggedOwl,15
150,0,2.630212307,0,14.97131443,0.050650999,82.65085602,0,0.000000000,0.173394039,0,0.008798957,17.17963028,638.0614014,0.689090192,-1000.739558,565.010677,RufousLeggedOwl,15
